121.00 10.00 3.06
121.14 10.00 3.03
121.29 10.00 3.00
121.43 10.00 2.96
121.58 10.00 2.92
121.72 10.00 2.87
121.87 10.00 2.82
122.01 10.00 2.77
122.16 10.00 2.72
122.30 10.00 2.67
122.45 10.00 2.62
122.59 10.00 2.58
122.74 10.00 2.54
122.88 10.00 2.52
123.03 10.00 2.52
123.17 10.00 2.53
123.32 10.00 2.56
123.46 10.00 2.62
123.61 10.00 2.70
123.75 10.00 2.80
123.90 10.00 2.92
124.04 10.00 3.05
124.19 10.00 3.19
124.33 10.00 3.35
124.48 10.00 3.50
124.62 10.00 3.67
124.77 10.00 3.83
124.91 10.00 4.00
125.06 10.00 4.17
125.20 10.00 4.35
125.35 10.00 4.54
125.49 10.00 4.75
125.64 10.00 4.98
125.78 10.00 5.24
125.93 10.00 5.53
126.07 10.00 5.87
126.22 10.00 6.24
126.36 10.00 6.65
126.51 10.00 7.09
126.65 10.00 7.55
126.80 10.00 8.01
126.94 10.00 8.43
127.09 10.00 8.77
127.23 10.00 9.01
127.38 10.00 9.12
127.52 10.00 9.09
127.67 10.00 8.94
127.81 10.00 8.67
127.96 10.00 8.32
128.10 10.00 7.91
128.25 10.00 7.47
128.39 10.00 7.02
128.54 10.00 6.57
128.68 10.00 6.13
128.83 10.00 5.70
128.97 10.00 5.30
129.12 10.00 4.93
129.26 10.00 4.58
129.41 10.00 4.26
129.55 10.00 3.98
129.70 10.00 3.72
129.84 10.00 3.50
129.99 10.00 3.32
130.13 10.00 3.17
130.28 10.00 3.05
130.42 10.00 2.96
130.57 10.00 2.89
130.71 10.00 2.86
130.86 10.00 2.84
131.00 10.00 2.84

121.00 10.12 3.04
121.14 10.12 3.01
121.29 10.12 2.97
121.43 10.12 2.93
121.58 10.12 2.88
121.72 10.12 2.84
121.87 10.12 2.78
122.01 10.12 2.73
122.16 10.12 2.67
122.30 10.12 2.61
122.45 10.12 2.56
122.59 10.12 2.51
122.74 10.12 2.46
122.88 10.12 2.43
123.03 10.12 2.42
123.17 10.12 2.43
123.32 10.12 2.46
123.46 10.12 2.52
123.61 10.12 2.60
123.75 10.12 2.71
123.90 10.12 2.83
124.04 10.12 2.97
124.19 10.12 3.12
124.33 10.12 3.28
124.48 10.12 3.45
124.62 10.12 3.61
124.77 10.12 3.77
124.91 10.12 3.94
125.06 10.12 4.11
125.20 10.12 4.28
125.35 10.12 4.47
125.49 10.12 4.67
125.64 10.12 4.89
125.78 10.12 5.14
125.93 10.12 5.43
126.07 10.12 5.75
126.22 10.12 6.13
126.36 10.12 6.54
126.51 10.12 7.00
126.65 10.12 7.48
126.80 10.12 7.96
126.94 10.12 8.40
127.09 10.12 8.77
127.23 10.12 9.03
127.38 10.12 9.14
127.52 10.12 9.12
127.67 10.12 8.95
127.81 10.12 8.67
127.96 10.12 8.30
128.10 10.12 7.88
128.25 10.12 7.43
128.39 10.12 6.96
128.54 10.12 6.50
128.68 10.12 6.05
128.83 10.12 5.61
128.97 10.12 5.21
129.12 10.12 4.82
129.26 10.12 4.47
129.41 10.12 4.14
129.55 10.12 3.85
129.70 10.12 3.58
129.84 10.12 3.36
129.99 10.12 3.17
130.13 10.12 3.02
130.28 10.12 2.90
130.42 10.12 2.81
130.57 10.12 2.76
130.71 10.12 2.73
130.86 10.12 2.72
131.00 10.12 2.73

121.00 10.24 3.02
121.14 10.24 2.98
121.29 10.24 2.95
121.43 10.24 2.90
121.58 10.24 2.86
121.72 10.24 2.81
121.87 10.24 2.75
122.01 10.24 2.69
122.16 10.24 2.62
122.30 10.24 2.56
122.45 10.24 2.50
122.59 10.24 2.44
122.74 10.24 2.38
122.88 10.24 2.35
123.03 10.24 2.33
123.17 10.24 2.33
123.32 10.24 2.36
123.46 10.24 2.42
123.61 10.24 2.51
123.75 10.24 2.62
123.90 10.24 2.75
124.04 10.24 2.90
124.19 10.24 3.06
124.33 10.24 3.22
124.48 10.24 3.39
124.62 10.24 3.55
124.77 10.24 3.72
124.91 10.24 3.88
125.06 10.24 4.04
125.20 10.24 4.21
125.35 10.24 4.38
125.49 10.24 4.57
125.64 10.24 4.78
125.78 10.24 5.01
125.93 10.24 5.29
126.07 10.24 5.60
126.22 10.24 5.97
126.36 10.24 6.39
126.51 10.24 6.85
126.65 10.24 7.34
126.80 10.24 7.83
126.94 10.24 8.29
127.09 10.24 8.67
127.23 10.24 8.93
127.38 10.24 9.06
127.52 10.24 9.03
127.67 10.24 8.86
127.81 10.24 8.58
127.96 10.24 8.21
128.10 10.24 7.78
128.25 10.24 7.33
128.39 10.24 6.86
128.54 10.24 6.39
128.68 10.24 5.94
128.83 10.24 5.50
128.97 10.24 5.09
129.12 10.24 4.70
129.26 10.24 4.34
129.41 10.24 4.01
129.55 10.24 3.71
129.70 10.24 3.44
129.84 10.24 3.21
129.99 10.24 3.02
130.13 10.24 2.86
130.28 10.24 2.75
130.42 10.24 2.67
130.57 10.24 2.62
130.71 10.24 2.60
130.86 10.24 2.60
131.00 10.24 2.63

121.00 10.37 3.00
121.14 10.37 2.96
121.29 10.37 2.92
121.43 10.37 2.88
121.58 10.37 2.83
121.72 10.37 2.78
121.87 10.37 2.72
122.01 10.37 2.65
122.16 10.37 2.58
122.30 10.37 2.51
122.45 10.37 2.44
122.59 10.37 2.37
122.74 10.37 2.31
122.88 10.37 2.27
123.03 10.37 2.24
123.17 10.37 2.24
123.32 10.37 2.27
123.46 10.37 2.33
123.61 10.37 2.42
123.75 10.37 2.54
123.90 10.37 2.68
124.04 10.37 2.84
124.19 10.37 3.00
