seconds foF2(in) foF2(out) hmF2(in) hmF2(out)
2807400 3.700 3.600 274.600 268.000
2807700 3.600 3.600 268.000 270.000
2808000 3.400 3.400 270.000 268.000
2808300 3.300 3.400 265.400 270.000
2808600 3.400 3.300 286.300 265.400
2808900 3.100 3.400 254.400 286.300
2809200 3.400 3.300 312.600 298.100
2809500 3.300 3.300 298.100 300.200
2809800 3.300 3.300 300.200 298.100
2810100 3.300 3.300 291.300 291.300
2810400 3.300 3.300 290.000 290.000
2810700 2.900 3.100 238.400 279.700
2811000 3.100 3.000 279.700 238.400
2811300 3.000 3.100 236.700 244.400
2811600 3.200 3.200 244.400 236.700
2811900 3.200 3.200 233.000 244.400
2812200 3.700 3.700 250.500 242.500
2812500 3.800 3.800 242.500 250.500
2812800 4.100 4.100 257.900 242.500
2813100 4.150 4.150 229.800 231.300
2813400 4.250 4.250 231.300 231.300
2813700 4.550 4.550 256.100 244.100
2814000 4.613 4.613 244.100 244.100
2814300 4.625 4.625 210.900 220.900
2814600 4.802 4.800 220.900 216.700
2814900 4.800 4.802 216.700 216.700
2815200 4.807 4.807 212.000 212.000
2815500 4.850 4.850 208.300 212.000
2815800 4.925 4.925 226.200 208.300
2816100 4.950 4.950 206.900 219.200
2816400 5.100 5.100 219.200 206.900
2816700 5.200 5.200 205.000 205.000
2817000 5.350 5.300 200.600 200.600
2817300 5.300 5.350 192.300 194.600
2817600 5.350 5.300 194.600 192.300
2817900 5.250 5.250 192.100 193.700
2818200 5.100 5.100 193.700 192.100
2818500 4.950 4.950 186.500 193.700
2818800 4.900 4.950 250.200 199.700
2819100 4.950 4.950 199.700 199.700
2819400 5.150 5.150 199.400 199.400
2819700 5.150 5.150 193.100 199.400
2820000 5.150 5.150 236.400 206.700
2820300 5.150 5.150 206.700 206.700
2820600 5.100 5.150 194.500 200.900
2820900 5.150 5.100 200.900 194.500
2821200 4.925 5.050 189.300 189.300
2821500 5.050 5.050 187.900 189.300
2821800 5.150 5.150 234.600 220.500
2822100 5.150 5.150 220.500 230.100
2822400 4.950 5.150 230.100 220.500
2822700 5.250 5.250 204.300 204.300
2823000 5.250 5.250 196.500 196.500
2823300 4.950 4.950 191.700 196.500
2823600 4.950 4.950 197.600 197.600
2823900 4.950 4.950 211.200 204.100
2824200 4.900 4.900 204.100 204.200
2824500 4.900 4.900 204.200 204.200
2824800 5.350 5.350 217.200 217.200
2825100 5.850 5.350 258.800 217.200
2825400 5.125 5.150 192.300 192.300
2825700 5.150 5.150 190.000 192.300
2826000 5.150 5.150 198.100 192.600
2826300 4.950 4.950 192.600 198.100
2826600 4.950 4.950 203.100 203.100
2826900 4.850 4.950 211.700 211.500
2827200 5.025 5.025 211.500 211.500
2827500 5.125 5.050 200.100 200.100
2827800 5.050 5.050 198.600 199.000
2828100 4.950 4.975 199.000 199.000
2828400 4.975 4.950 203.600 199.000
2828700 4.913 4.975 198.900 203.600
2829000 5.150 5.150 216.500 202.600
2829300 5.150 5.150 202.600 216.500
2829600 5.200 5.200 218.200 218.200
2829900 5.750 5.250 232.000 218.200
2830200 5.250 5.350 195.600 228.100
2830500 5.350 5.250 228.100 195.600
2830800 5.125 5.125 192.600 192.600
2831100 4.925 4.925 186.600 188.100
2831400 4.700 4.700 188.100 188.100
2831700 4.675 4.700 200.200 200.200
2832000 5.250 5.250 252.700 245.100
2832300 5.400 5.400 245.100 245.100
2832600 5.700 5.550 231.600 231.600
2832900 5.550 5.600 205.500 207.700
2833200 5.600 5.550 207.700 207.700
2833500 5.550 5.600 221.300 220.900
2833800 5.750 5.550 220.900 220.900
2834100 5.450 5.450 206.800 206.800
2834400 5.150 5.150 205.900 206.800
2834700 4.800 5.150 227.500 227.500
2835000 5.650 5.650 229.000 227.500
2835300 5.650 5.650 224.700 224.700
2835600 5.600 5.650 212.700 224.700
2835900 5.750 5.600 229.100 223.000
2836200 5.550 5.550 223.000 223.000
2836500 5.550 5.550 222.500 223.000
2836800 5.650 5.600 236.600 228.200
2837100 5.600 5.650 228.200 233.500
2837400 6.150 5.950 233.500 228.200
2837700 5.950 5.950 220.000 225.600
2838000 5.825 5.825 225.600 220.000
2838300 5.750 5.750 217.400 217.400
2838600 5.650 5.750 202.500 217.400
2838900 5.950 5.650 258.800 213.100
2839200 5.550 5.550 213.100 248.300
2839500 5.550 5.550 248.300 247.900
2839800 5.550 5.550 247.900 247.900
2840100 5.650 5.650 233.800 247.900
2840400 5.950 5.950 255.600 243.100
2840700 6.050 6.050 243.100 243.100
2841000 6.050 6.050 221.500 221.500
2841300 6.000 6.050 211.100 221.500
2841600 6.050 6.050 222.400 211.100
2841900 6.100 6.050 194.500 203.900
2842200 5.850 5.900 203.900 203.900
2842500 5.900 5.850 253.000 205.300
2842800 5.850 5.850 205.300 205.300
2843100 5.800 5.850 203.400 205.300
2843400 5.850 5.800 256.500 203.400
2843700 5.550 5.550 193.200 211.200
2844000 5.200 5.200 211.200 203.700
2844300 5.150 5.150 203.700 203.700
2844600 5.100 5.150 199.700 203.700
2844900 5.500 5.250 238.100 202.300
2845200 5.250 5.250 202.300 202.300
2845500 4.850 5.000 183.400 198.900
2845800 5.000 4.850 198.900 198.900
2846100 4.850 4.850 214.500 214.500
2846400 4.700 4.700 215.500 215.500
2846700 4.700 4.700 367.100 229.400
2847000 4.850 4.700 229.400 229.400
2847300 4.550 4.850 208.800 229.400
2847600 4.950 4.950 238.500 238.500
2847900 5.150 5.125 257.500 257.500
2848200 5.125 5.125 261.500 257.500
2848500 4.950 5.125 216.400 234.500
2848800 5.350 5.350 234.500 234.500
2849100 5.350 5.350 237.700 234.500
2849400 5.300 5.350 227.300 228.100
2849700 5.400 5.300 228.100 227.300
2850000 5.300 5.300 221.800 228.100
2850300 5.300 5.300 230.700 230.700
2850600 5.512 5.350 259.700 243.100
2850900 5.350 5.450 243.100 248.100
2851200 5.450 5.450 248.100 247.900
2851500 5.600 5.600 247.900 247.900
2851800 5.750 5.750 242.000 242.000
2852100 5.900 5.900 240.000 240.600
2852400 6.000 6.000 240.600 240.600
2852700 6.200 6.000 272.800 240.600
2853000 6.000 6.200 229.100 272.800
2853300 6.200 6.000 280.200 229.100
2853600 5.700 5.700 223.100 233.500
2853900 5.600 5.600 233.500 233.500
2854200 5.400 5.400 259.500 233.500
2854500 5.100 5.100 224.400 253.900
2854800 4.900 4.900 253.900 253.900
2855100 4.700 4.700 266.100 258.100
2855400 4.400 4.500 258.100 266.100
2855700 4.500 4.400 266.200 266.200
2856000 4.200 4.200 267.100 266.200
2856300 3.900 3.900 230.100 247.900
2864100 2.400 2.400 247.900 247.900
2864400 2.400 2.400 254.200 247.900
2864700 2.400 2.400 243.000 254.200
2865000 2.600 2.600 275.900 275.900
2865300 2.600 2.600 278.300 278.300
2865600 2.600 2.600 278.300 278.300
2865900 2.700 2.600 315.000 278.300
2866200 2.400 2.400 255.400 315.000
2866500 2.400 2.400 454.200 271.900
2866800 2.600 2.600 271.900 320.600
2867100 2.800 2.700 320.600 280.800
2867400 2.700 2.700 280.800 310.300
2867700 2.700 2.700 310.300 280.800
2868000 2.700 2.700 277.700 277.700
2868300 2.700 2.700 272.700 277.700
2868600 2.700 2.700 284.500 284.500
2868900 2.800 2.800 290.000 284.500
2869200 2.800 2.800 274.000 274.000
2869500 2.900 2.900 259.400 274.000
2869800 2.900 2.900 276.500 276.500
2870100 3.000 2.900 313.800 276.500
2870400 2.900 2.900 248.700 256.400
2870700 2.800 2.900 256.400 256.400
2871000 2.900 2.800 275.500 271.300
2871300 2.800 2.900 271.300 275.500
2871600 2.900 2.800 290.600 272.400
2871900 2.800 2.800 272.400 290.600
2872200 2.800 2.800 292.700 286.200
2872500 2.700 2.700 286.200 292.700
2872800 2.400 2.700 469.300 290.900
2873100 2.700 2.700 290.900 296.200
2873400 2.800 2.800 296.200 296.200
2873700 2.900 2.900 305.100 296.200
