1.14 100.0
1.18 110.0
1.05 120.0
1.05 130.0
1.19 140.0
1.29 150.0
1.42 160.0
1.59 170.0
1.86 180.0
2.50 190.0
3.19 200.0
3.82 210.0
4.33 220.0
4.69 230.0
4.89 240.0
4.95 250.0
4.94 260.0
4.89 270.0
4.81 280.0
4.71 290.0
4.59 300.0
4.45 310.0
4.31 320.0
4.17 330.0
4.02 340.0
3.87 350.0
3.72 360.0
3.58 370.0
3.44 380.0
3.31 390.0
3.18 400.0
3.06 410.0
2.94 420.0
2.83 430.0
2.73 440.0
2.63 450.0
2.53 460.0
2.44 470.0
2.36 480.0
2.28 490.0
2.20 500.0
2.13 510.0
2.06 520.0
2.00 530.0
1.93 540.0
1.88 550.0
1.82 560.0
1.77 570.0
1.72 580.0
1.67 590.0
1.63 600.0
