0.72 100.0
0.73 110.0
0.63 120.0
0.60 130.0
0.68 140.0
0.91 150.0
1.27 160.0
1.62 170.0
1.97 180.0
2.29 190.0
2.58 200.0
2.80 210.0
2.96 220.0
3.06 230.0
3.11 240.0
3.11 250.0
3.10 260.0
3.06 270.0
3.00 280.0
2.93 290.0
2.86 300.0
2.77 310.0
2.68 320.0
2.59 330.0
2.50 340.0
2.41 350.0
2.32 360.0
2.23 370.0
2.15 380.0
2.07 390.0
1.99 400.0
1.92 410.0
1.85 420.0
1.78 430.0
1.71 440.0
1.65 450.0
1.59 460.0
1.54 470.0
1.49 480.0
1.44 490.0
1.39 500.0
1.35 510.0
1.30 520.0
1.26 530.0
1.23 540.0
1.19 550.0
1.16 560.0
1.12 570.0
1.09 580.0
1.06 590.0
1.03 600.0
